Date,CPI_Total,CPI_Monthly_Change_Pct,CPI_YoY_Change_Pct,Retail_Index_Total,Retail_Monthly_Change_Pct,Retail_YoY_Change_Pct,Retail_Index_Adjusted,Consumer_Confidence,Confidence_Change
2001-01-01,76.7,,,67.6,,,88.14,3.0,
2001-02-01,77.3,0.78,,61.9,-8.43,,80.08,1.0,-2.0
2001-03-01,77.7,0.52,,71.0,14.7,,91.38,0.0,-1.0
2001-04-01,78.0,0.39,,71.3,0.42,,91.41,-2.0,-2.0
2001-05-01,78.4,0.51,,77.9,9.26,,99.36,0.0,2.0
2001-06-01,78.3,-0.13,,72.8,-6.55,,92.98,2.0,2.0
2001-07-01,78.1,-0.26,,71.8,-1.37,,91.93,-1.0,-3.0
2001-08-01,78.1,0.0,,75.6,5.29,,96.8,-1.0,0.0
2001-09-01,78.4,0.38,,69.0,-8.73,,88.01,1.0,2.0
2001-10-01,78.5,0.13,,72.1,4.49,,91.85,-3.0,-4.0
2001-11-01,78.3,-0.25,,74.2,2.91,,94.76,-2.0,1.0
2001-12-01,78.5,0.26,,92.6,24.8,,117.96,0.0,2.0
2002-01-01,78.6,0.13,2.48,70.3,-24.08,3.99,89.44,3.0,3.0
2002-02-01,79.2,0.76,2.46,63.9,-9.1,3.23,80.68,2.0,-1.0
2002-03-01,79.7,0.63,2.57,74.0,15.81,4.23,92.85,0.0,-2.0
2002-04-01,80.0,0.38,2.56,74.4,0.54,4.35,93.0,4.0,4.0
2002-05-01,80.0,0.0,2.04,81.9,10.08,5.13,102.38,2.0,-2.0
2002-06-01,80.0,0.0,2.17,74.1,-9.52,1.79,92.62,1.0,-1.0
2002-07-01,79.8,-0.25,2.18,76.7,3.51,6.82,96.12,1.0,0.0
2002-08-01,79.9,0.13,2.3,79.5,3.65,5.16,99.5,-1.0,-2.0
2002-09-01,80.3,0.5,2.42,72.1,-9.31,4.49,89.79,3.0,4.0
2002-10-01,80.5,0.25,2.55,76.8,6.52,6.52,95.4,1.0,-2.0
2002-11-01,80.5,0.0,2.81,77.5,0.91,4.45,96.27,0.0,-1.0
2002-12-01,80.5,0.0,2.55,94.4,21.81,1.94,117.27,-1.0,-1.0
2003-01-01,80.6,0.12,2.54,74.1,-21.5,5.41,91.94,4.0,5.0
2003-02-01,81.4,0.99,2.78,67.9,-8.37,6.26,83.42,-2.0,-6.0
2003-03-01,82.0,0.74,2.89,74.5,9.72,0.68,90.85,-3.0,-1.0
2003-04-01,81.9,-0.12,2.38,79.7,6.98,7.12,97.31,-2.0,1.0
2003-05-01,81.8,-0.12,2.25,84.5,6.02,3.17,103.3,1.0,3.0
2003-06-01,81.8,0.0,2.25,76.7,-9.23,3.51,93.77,1.0,0.0
2003-07-01,81.3,-0.61,1.88,80.6,5.08,5.08,99.14,0.0,-1.0
2003-08-01,81.3,0.0,1.75,81.5,1.12,2.52,100.25,2.0,2.0
2003-09-01,81.8,0.62,1.87,75.6,-7.24,4.85,92.42,0.0,-2.0
2003-10-01,81.6,-0.24,1.37,82.2,8.73,7.03,100.74,2.0,2.0
2003-11-01,81.8,0.25,1.61,78.8,-4.14,1.68,96.33,2.0,0.0
2003-12-01,81.6,-0.24,1.37,100.9,28.05,6.89,123.65,1.0,-1.0
2004-01-01,81.6,0.0,1.24,75.7,-24.98,2.16,92.77,5.0,4.0
2004-02-01,82.2,0.74,0.98,70.2,-7.27,3.39,85.4,2.0,-3.0
2004-03-01,82.5,0.36,0.61,80.2,14.25,7.65,97.21,3.0,1.0
2004-04-01,82.6,0.12,0.85,83.7,4.36,5.02,101.33,8.0,5.0
2004-05-01,82.9,0.36,1.34,83.5,-0.24,-1.18,100.72,8.0,0.0
2004-06-01,82.7,-0.24,1.1,82.8,-0.84,7.95,100.12,7.0,-1.0
2004-07-01,82.4,-0.36,1.35,83.9,1.33,4.09,101.82,8.0,1.0
2004-08-01,82.2,-0.24,1.11,84.1,0.24,3.19,102.31,10.0,2.0
2004-09-01,82.7,0.61,1.1,79.5,-5.47,5.16,96.13,7.0,-3.0
2004-10-01,83.0,0.36,1.72,85.6,7.67,4.14,103.13,7.0,0.0
2004-11-01,82.8,-0.24,1.22,86.8,1.4,10.15,104.83,7.0,0.0
2004-12-01,82.6,-0.24,1.23,109.5,26.15,8.52,132.57,8.0,1.0
2005-01-01,82.4,-0.24,0.98,78.0,-28.77,3.04,94.66,11.2,3.2
2005-02-01,83.2,0.97,1.22,73.5,-5.77,4.7,88.34,8.9,-2.3
2005-03-01,83.7,0.6,1.45,84.2,14.56,4.99,100.6,4.6,-4.3
2005-04-01,84.1,0.48,1.82,89.8,6.65,7.29,106.78,8.0,3.4
2005-05-01,84.1,0.0,1.45,89.3,-0.56,6.95,106.18,7.1,-0.9
2005-06-01,84.2,0.12,1.81,89.3,0.0,7.85,106.06,5.6,-1.5
2005-07-01,84.1,-0.12,2.06,87.2,-2.35,3.93,103.69,8.9,3.3
2005-08-01,84.1,0.0,2.31,91.0,4.36,8.2,108.2,11.1,2.2
2005-09-01,84.7,0.71,2.42,86.1,-5.38,8.3,101.65,9.7,-1.4
2005-10-01,84.7,0.0,2.05,88.4,2.67,3.27,104.37,11.1,1.4
2005-11-01,84.4,-0.35,1.93,90.7,2.6,4.49,107.46,11.2,0.1
2005-12-01,84.5,0.12,2.3,114.6,26.35,4.66,135.62,8.4,-2.8
2006-01-01,84.2,-0.36,2.18,82.6,-27.92,5.9,98.1,15.5,7.1
2006-02-01,85.0,0.95,2.16,77.2,-6.54,5.03,90.82,11.8,-3.7
